epoch,train/loss,train/lr,train/loss_rpn_cls,train/loss_rpn_bbox,train/s0.loss_cls,train/s0.loss_bbox,train/s0.loss_mask,train/s1.loss_cls,train/s1.loss_bbox,train/s1.loss_mask,train/s2.loss_cls,train/s2.loss_bbox,train/s2.loss_mask,val/coco/segm_mAP_50,val/coco/segm_mAP,val/coco/segm_mAP_75,val/coco/bbox_mAP_50,val/coco/bbox_mAP,val/coco/bbox_mAP_75,val/coco/class1_precision,val/coco/class2_precision,val/coco/class3_precision,val/coco/class4_precision,train/data_time,train/grad_norm,train/memory,train/s0.acc,train/s1.acc,train/s2.acc,train/time,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/coco/segm_mAP_l,val/coco/segm_mAP_m,val/coco/segm_mAP_s,val/data_time,val/time
1,2.1135407984256744,4.184768739756767e-05,0.1004251683014445,0.04839257157582324,0.4543060392141342,0.19817425953224302,0.385917404294014,0.22845234386622906,0.1967676879838109,0.1858244515955448,0.11868363544344902,0.10099404389038683,0.09560326263308525,0.458,0.184,0.204,0.457,0.191,0.241,0.281,0.27,0.129,0.256,0.27348612546920775,15.585868692398071,11805.0,84.5703125,82.421875,84.765625,0.7583459854125977,0.203,0.252,0.193,0.304,0.303,0.167,0.7532137055550853,1.1398952545658234
2,1.813227680325508,7.348084183366415e-05,0.08990138859371655,0.05893429252319038,0.3192716561257839,0.2105788432061672,0.3605447359383106,0.16907666604965926,0.1730088277719915,0.17342028692364692,0.08933203900232911,0.08553264053771273,0.08362634517252446,0.494,0.199,0.256,0.486,0.195,0.228,0.338,0.325,0.244,0.14,0.3553945064544678,11.714974975585937,9227.0,98.6328125,91.46825408935547,91.33857727050781,0.9510631203651428,0.064,0.213,0.224,0.225,0.263,0.226,0.7278910055756569,1.094262957572937
3,2.148193323612213,9.832921280336106e-05,0.10341432337881998,0.07305737896822392,0.4452658347785473,0.2138979710638523,0.3704149901866913,0.24160092510282993,0.20284474715590478,0.1820402681827545,0.12449867911636829,0.10507623618468642,0.08608195446431637,0.488,0.234,0.306,0.49,0.222,0.285,0.387,0.298,0.151,0.345,0.2094367265701294,10.41503610610962,8881.0,83.984375,79.48717498779297,73.175537109375,0.7246150732040405,0.2,0.292,0.258,0.3,0.321,0.221,0.6945743262767792,1.0701222121715546
4,1.6575407654047012,9.703256038829375e-05,0.06665170011110604,0.04478027441073209,0.30025189742445946,0.1599548328667879,0.33338365629315375,0.1721943948417902,0.15010221675038338,0.16414410546422004,0.09314141850918531,0.0944830269087106,0.07845323961228132,0.59,0.322,0.421,0.582,0.299,0.398,0.378,0.291,0.376,0.463,0.24298492670059205,9.749054503440856,9227.0,97.0703125,94.21157836914062,95.59117889404297,0.7851165771484375,0.2,0.375,0.252,0.4,0.496,0.257,0.7005970925092697,1.0813992694020271
5,1.656607511639595,9.538180428862606e-05,0.06979001192376018,0.04648817121051252,0.25696068480610845,0.1755286630243063,0.35278609916567805,0.12592013236135244,0.1842769356444478,0.18394695185124874,0.06734798476099968,0.10695385717408498,0.08660800345242023,0.508,0.272,0.341,0.508,0.268,0.327,0.28,0.252,0.325,0.398,0.33799856901168823,8.217881011962891,9683.0,90.8203125,93.7377700805664,94.90196228027344,0.9129685759544373,0.3,0.303,0.35,0.5,0.342,0.237,0.7058196812868118,1.0856555178761482
6,1.722589948773384,9.338950775503009e-05,0.07050637751817704,0.04400972940493375,0.289734722673893,0.1870807185769081,0.3505342647433281,0.1423502115532756,0.19177079908549785,0.17240085750818251,0.07450795462355017,0.11806020301301032,0.08163413032889366,0.656,0.332,0.476,0.656,0.325,0.453,0.399,0.403,0.394,0.444,0.3333622097969055,9.50023946762085,7824.0,93.75,94.95967864990234,94.76861572265625,0.8593839049339295,0.15,0.344,0.375,0.35,0.401,0.333,0.7119880318641663,1.0936699882149696
7,1.5012592643499374,9.107083336710801e-05,0.060118854917527643,0.030593846243573353,0.25546495579183104,0.1323337306967005,0.32347546294331553,0.12549092411063612,0.15644542882218956,0.16654568947851658,0.06602132141124457,0.104203191139095,0.08056583870202302,0.63,0.336,0.477,0.622,0.332,0.487,0.411,0.357,0.436,0.417,0.16087814569473266,9.334312248229981,9227.0,79.4921875,82.28105926513672,83.98357391357422,0.6706917405128479,0.1,0.355,0.512,0.2,0.395,0.38,0.6911658123135567,1.0590534582734108
8,1.6290310680866242,8.844342763700589e-05,0.08227488582488149,0.056719601387158036,0.24928030036389828,0.16263176649808883,0.3817608647048473,0.12006801031529904,0.1501039259135723,0.18686111718416215,0.07156702224165201,0.07985799194430002,0.08790558204054832,0.645,0.371,0.549,0.645,0.354,0.537,0.407,0.415,0.447,0.509,0.6719784259796142,8.637150263786316,11240.0,84.765625,89.44223022460938,84.72222137451172,1.3509117484092712,0.3,0.407,0.399,0.4,0.458,0.362,0.6987781748175621,1.086716167628765
9,1.626103514432907,8.552728670880085e-05,0.06025538220419548,0.04638673060107976,0.27108903229236603,0.1699443615972996,0.3373422347009182,0.14074349645525217,0.17470691353082657,0.16721862256526948,0.07469552457332611,0.10481834700331091,0.07890288867056369,0.623,0.332,0.472,0.621,0.324,0.465,0.385,0.362,0.408,0.443,0.22729170322418213,9.86000735759735,11810.0,95.703125,96.7676773071289,95.76612854003906,0.7158880114555359,0.3,0.349,0.415,0.5,0.407,0.307,0.6964544653892517,1.0927429348230362
10,1.5470945864915848,8.234460417577046e-05,0.05653459394816309,0.047339571500197054,0.2565530650317669,0.1530293758958578,0.3426779478788376,0.12972650756128132,0.14954906655475497,0.16816673949360847,0.07191233704797924,0.09195844328496605,0.07964695058763027,0.612,0.317,0.421,0.61,0.322,0.453,0.379,0.344,0.392,0.405,0.37645169496536257,7.463394749164581,11810.0,82.2265625,81.31212615966797,79.67807006835938,0.9802091360092163,0.3,0.38,0.443,0.25,0.409,0.403,0.6901258677244186,1.0779780149459839
