coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_l,coco/bbox_mAP_m,coco/bbox_mAP_s,coco/class1_precision,coco/class2_precision,coco/class3_precision,coco/class4_precision,coco/segm_mAP,coco/segm_mAP_50,coco/segm_mAP_75,coco/segm_mAP_l,coco/segm_mAP_m,coco/segm_mAP_s,data_time,epoch,grad_norm,iter,loss,loss_rpn_bbox,loss_rpn_cls,lr,memory,s0.acc,s0.loss_bbox,s0.loss_cls,s0.loss_mask,s1.acc,s1.loss_bbox,s1.loss_cls,s1.loss_mask,s2.acc,s2.loss_bbox,s2.loss_cls,s2.loss_mask,step,time
,,,,,,,,,,,,,,,,0.27348612546920775,1,15.585868692398071,178,2.1135407984256744,0.04839257157582324,0.1004251683014445,4.184768739756767e-05,11805,84.5703125,0.19817425953224302,0.4543060392141342,0.385917404294014,82.421875,0.1967676879838109,0.22845234386622906,0.1858244515955448,84.765625,0.10099404389038683,0.11868363544344902,0.09560326263308525,178,0.7583459854125977
0.191,0.457,0.241,0.203,0.252,0.193,0.281,0.27,0.129,0.256,0.184,0.458,0.204,0.304,0.303,0.167,0.7532137055550853,,,,,,,,,,,,,,,,,,,,,1,1.1398952545658234
,,,,,,,,,,,,,,,,0.3553945064544678,2,11.714974975585937,356,1.813227680325508,0.05893429252319038,0.08990138859371655,7.348084183366415e-05,9227,98.6328125,0.2105788432061672,0.3192716561257839,0.3605447359383106,91.46825408935547,0.1730088277719915,0.16907666604965926,0.17342028692364692,91.33857727050781,0.08553264053771273,0.08933203900232911,0.08362634517252446,356,0.9510631203651428
0.195,0.486,0.228,0.064,0.213,0.224,0.338,0.325,0.244,0.14,0.199,0.494,0.256,0.225,0.263,0.226,0.7278910055756569,,,,,,,,,,,,,,,,,,,,,2,1.094262957572937
,,,,,,,,,,,,,,,,0.2094367265701294,3,10.41503610610962,534,2.148193323612213,0.07305737896822392,0.10341432337881998,9.832921280336106e-05,8881,83.984375,0.2138979710638523,0.4452658347785473,0.3704149901866913,79.48717498779297,0.20284474715590478,0.24160092510282993,0.1820402681827545,73.175537109375,0.10507623618468642,0.12449867911636829,0.08608195446431637,534,0.7246150732040405
0.222,0.49,0.285,0.2,0.292,0.258,0.387,0.298,0.151,0.345,0.234,0.488,0.306,0.3,0.321,0.221,0.6945743262767792,,,,,,,,,,,,,,,,,,,,,3,1.0701222121715546
,,,,,,,,,,,,,,,,0.24298492670059205,4,9.749054503440856,712,1.6575407654047012,0.04478027441073209,0.06665170011110604,9.703256038829375e-05,9227,97.0703125,0.1599548328667879,0.30025189742445946,0.33338365629315375,94.21157836914062,0.15010221675038338,0.1721943948417902,0.16414410546422004,95.59117889404297,0.0944830269087106,0.09314141850918531,0.07845323961228132,712,0.7851165771484375
0.299,0.582,0.398,0.2,0.375,0.252,0.378,0.291,0.376,0.463,0.322,0.59,0.421,0.4,0.496,0.257,0.7005970925092697,,,,,,,,,,,,,,,,,,,,,4,1.0813992694020271
,,,,,,,,,,,,,,,,0.33799856901168823,5,8.217881011962891,890,1.656607511639595,0.04648817121051252,0.06979001192376018,9.538180428862606e-05,9683,90.8203125,0.1755286630243063,0.25696068480610845,0.35278609916567805,93.7377700805664,0.1842769356444478,0.12592013236135244,0.18394695185124874,94.90196228027344,0.10695385717408498,0.06734798476099968,0.08660800345242023,890,0.9129685759544373
0.268,0.508,0.327,0.3,0.303,0.35,0.28,0.252,0.325,0.398,0.272,0.508,0.341,0.5,0.342,0.237,0.7058196812868118,,,,,,,,,,,,,,,,,,,,,5,1.0856555178761482
